id,branch_code,category_id,sku,name,name_en,description,base_price,prep_time_minutes,kitchen_printer,display_order,is_available,is_popular,is_spicy,is_vegetarian,allergens,has_options,options_required
item-301,hirama,cat-rice,RICE-BIBIMBAP,石焼ビビンバ,Stone Pot Bibimbap,熱々の石鍋で提供。おこげが美味しい,1200,8,grill,2,true,true,true,false,egg,true,false
item-302,hirama,cat-rice,RICE-REIMEN,冷麺,Cold Noodles,韓国冷麺。さっぱりとした味わい,900,5,cold,3,true,false,false,false,wheat,false,false
item-303,hirama,cat-rice,RICE-KUPPA,カルビクッパ,Kalbi Rice Soup,カルビ入りの韓国風スープご飯,950,6,grill,4,true,false,true,false,,true,false
item-304,hirama,cat-rice,RICE-YUKKE,ユッケジャンクッパ,Yukkejan Kuppa,牛肉と野菜の辛口スープご飯,1000,6,grill,5,true,false,true,false,,true,false
item-305,hirama,cat-rice,RICE-TAMAGO,たまごクッパ,Egg Rice Soup,やさしい味わいのたまごスープご飯,750,5,grill,6,true,false,false,false,egg,true,false
item-310,hirama,cat-side,SIDE-WAKAME,わかめスープ,Wakame Soup,磯の香りが広がるわかめスープ,350,3,grill,1,true,false,false,true,,false,false
item-311,hirama,cat-side,SIDE-TAMAGO,たまごスープ,Egg Soup,ふんわりたまごのスープ,350,3,grill,2,true,false,false,false,egg,false,false
item-312,hirama,cat-side,SIDE-KAKUTEKI,カクテキ,Cubed Radish Kimchi,大根の角切りキムチ,350,1,cold,3,true,false,true,true,,false,false
item-400,hirama,cat-dessert,DESSERT-VANILLA,バニラアイス,Vanilla Ice Cream,濃厚バニラアイス,300,2,cold,1,true,false,false,true,milk,false,false
item-401,hirama,cat-dessert,DESSERT-YUZU,柚子シャーベット,Yuzu Sherbet,さっぱり柚子シャーベット,350,2,cold,2,true,false,false,true,,false,false
item-402,hirama,cat-dessert,DESSERT-MATCHA,抹茶アイス,Matcha Ice Cream,京都産抹茶使用,350,2,cold,3,true,false,false,true,milk,false,false
item-403,hirama,cat-dessert,DESSERT-MANGO,マンゴーシャーベット,Mango Sherbet,トロピカルなマンゴーシャーベット,350,2,cold,4,true,false,false,true,,false,false
